index,title,genres,cast,keywords,director
154,Rise of the Guardians,Fantasy Animation Family,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,dream santa claus nightmare easter bunny tooth fairy,Peter Ramsey
155,Fun with Dick and Jane,Comedy,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,based on novel desperation robber hold-up robbery remake,Dean Parisot
156,The Last Samurai,Drama Action War History,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,japan war crimes sense of guilt swordplay general,Edward Zwick
157,Exodus: Gods and Kings,Adventure Drama Action,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,moses bible ancient egypt 3d ramses,Ridley Scott
158,Star Trek,Science Fiction Action Adventure,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,spacecraft teleportation space mission parachute time travel,J.J. Abrams
159,Spider-Man,Fantasy Action,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,loss of lover spider thanksgiving bad boss hostility,Sam Raimi
160,How to Train Your Dragon 2,Fantasy Action Adventure Animation Comedy,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,father son relationship wife husband relationship sacrifice viking sequel,Dean DeBlois
161,Gods of Egypt,Fantasy,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,egypt underworld fight mythology nile,Alex Proyas
162,Stealth,Action,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,artificial intelligence u.s. navy aftercreditsstinger,Rob Cohen
163,Watchmen,Action Mystery Science Fiction,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,dc comics secret identity mass murder retirement based on comic book,Zack Snyder
164,Lethal Weapon 4,Action Adventure Comedy Crime Thriller,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,lapd house on fire revolver,Richard Donner
165,Hulk,Drama Action Science Fiction,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,california san francisco monster general gun,Ang Lee
166,G.I. Joe: Retaliation,Adventure Action Science Fiction Thriller,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,terror assassin secret technology missile,Jon M. Chu
167,Sahara,Action Adventure Comedy Drama Mystery,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,tyrant ironclad ship,Breck Eisner
168,Final Fantasy: The Spirits Within,Adventure Action Animation Fantasy Science Fiction,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,battle assignment dystopia alien downfall scientist,Hironobu Sakaguchi
169,Captain America: The First Avenger,Action Adventure Science Fiction,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,new york usa world war ii nazis marvel comic,Joe Johnston
170,The World Is Not Enough,Adventure Action Thriller,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,british mission oil heiress bilbao spain,Michael Apted
171,Master and Commander: The Far Side of the World,Adventure,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,naturalist frigate self surgery sea battle weevil,Peter Weir
172,The Twilight Saga: Breaking Dawn - Part 2,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,vampire romance villainess super strength imprinting,Bill Condon
173,Happy Feet Two,Animation Comedy Family,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,penguin musical aftercreditsstinger 3d,George Miller
174,The Incredible Hulk,Science Fiction Action Adventure,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,new york rio de janeiro marvel comic superhero based on comic book,Louis Leterrier
175,The BFG,Adventure Family Fantasy,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,london england england based on novel queen little girl,Steven Spielberg
176,The Revenant,Western Drama Adventure Thriller,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,father son relationship rape based on novel mountains winter,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
177,Turbo,Animation Family,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,underdog car race dream speed power,David Soren
178,Rango,Animation Comedy Family Western Adventure,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,sheriff nevada pet rango chameleon,Gore Verbinski
179,Penguins of Madagascar,Family Animation Adventure Comedy,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,penguin madagascar 3d,Eric Darnell
180,The Bourne Ultimatum,Action Drama Mystery Thriller,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,paris corruption madrid assassin based on novel,Paul Greengrass
181,Kung Fu Panda,Adventure Animation Family Comedy,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,china martial arts kung fu mentor snake,Mark Osborne
182,Ant-Man,Science Fiction Action Adventure,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger,Peyton Reed
183,The Hunger Games: Catching Fire,Adventure Action Science Fiction,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,competition based on novel mentor secret factory,Francis Lawrence
184,Home,Fantasy Comedy Animation Science Fiction Family,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,friendship spaceship space alien alien invasion,Tim Johnson
185,War of the Worlds,Adventure Thriller Science Fiction,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,post traumatic stress  disorder new jersey airplane dystopia daughter,Steven Spielberg
186,Bad Boys II,Adventure Action Comedy Thriller Crime,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,miami ku klux klan cuba undercover mexican standoff,Michael Bay
187,Puss in Boots,Action Adventure Animation Family Fantasy,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,adventure fairy-tale figure,Chris Miller
188,Salt,Action Mystery Thriller,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl,assassination spy cia kidnapping cold war,Phillip Noyce
189,Noah,Drama Adventure,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,bible god noah 3d,Darren Aronofsky
190,The Adventures of Tintin,Adventure Animation Mystery,Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg,riddle captain treasure liquor treasure hunt,Steven Spielberg
191,Harry Potter and the Prisoner of Azkaban,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis,flying traitor magic cutting the cord child hero,Alfonso Cuar\u00f3n
192,Australia,Drama,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,missionary world war ii ranch australia british,Baz Luhrmann
193,After Earth,Science Fiction Action Adventure,Jaden Smith Will Smith Sophie Okonedo Zo\u00eb Kravitz Glenn Morshower,dystopia,M. Night Shyamalan
194,Dinosaur,Animation Family,D. B. Sweeney Alfre Woodard Ossie Davis Max Casella Hayden Panettiere,cataclysm asteroid leader comet animation,Ralph Zondag
195,Night at the Museum: Secret of the Tomb,Adventure Comedy Fantasy Family,Ben Stiller Rami Malek Rebel Wilson Robin Williams Owen Wilson,night watchman museum natural history history smithsonian,Shawn Levy
196,Megamind,Animation Action Comedy Family Science Fiction,Will Ferrell Brad Pitt Tina Fey Jonah Hill David Cross,saving the world date prison secret identity fish,Tom McGrath
197,Harry Potter and the Philosopher's Stone,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Tom Felton,witch christmas party magic cutting the cord halloween,Chris Columbus
198,R.I.P.D.,Fantasy Action Comedy Crime,Jeff Bridges Ryan Reynolds Kevin Bacon Stephanie Szostak Mary-Louise Parker,gold police operation partner revenge undead,Robert Schwentke
199,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport,exotic island blacksmith east india trading company gold marriage proposal,Gore Verbinski
200,The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland,resistance post-apocalyptic dystopia war sequel,Francis Lawrence
201,The Da Vinci Code,Thriller Mystery,Tom Hanks Audrey Tautou Ian McKellen Paul Bettany Jean Reno,paris holy grail christianity monk based on novel,Ron Howard
202,Rio 2,Animation Adventure Comedy Family,Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy Garc\u00eda,bird sequel jungle audition amazon rainforest,Carlos Saldanha
203,X2,Adventure Action Science Fiction Thriller,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,mutant marvel comic superhero based on comic book superhuman,Bryan Singer
204,Fast Five,Action Thriller Crime,Vin Diesel Paul Walker Jordana Brewster Tyrese Gibson Ludacris,brazil fbi freedom escape from prison car crash,Justin Lin
205,Sherlock Holmes: A Game of Shadows,Adventure Action Crime Mystery,Robert Downey Jr. Jude Law Jared Harris Noomi Rapace Kelly Reilly,detective inspector steampunk criminal mastermind,Guy Ritchie
206,Clash of the Titans,Adventure Fantasy Action,Sam Worthington Liam Neeson Ralph Fiennes Gemma Arterton Jason Flemyng,hades mythology greek mythology zeus medusa,Louis Leterrier
207,Total Recall,Action Adventure Science Fiction,Arnold Schwarzenegger Sharon Stone Rachel Ticotin Ronny Cox Michael Ironside,oxygen falsely accused resistance mars double life,Paul Verhoeven
208,The 13th Warrior,Adventure Fantasy Action,Antonio Banderas Vladimir Kulich Dennis Storh\u00f8i Daniel Southern Clive Russell,witch cave arabian scandinavia bagdad,John McTiernan
209,The Bourne Legacy,Action Thriller,Jeremy Renner Rachel Weisz Edward Norton Scott Glenn Stacy Keach,assassin wolf maryland suicide by gunshot rooftop,Tony Gilroy
210,Batman & Robin,Action Crime Fantasy,George Clooney Chris O'Donnell Arnold Schwarzenegger Uma Thurman Alicia Silverstone,double life dc comics dual identity crime fighter fictional place,Joel Schumacher
211,How the Grinch Stole Christmas,Family Comedy Fantasy,Jim Carrey Taylor Momsen Jeffrey Tambor Christine Baranski Bill Irwin,holiday christmas party new love santa claus village,Ron Howard
212,The Day After Tomorrow,Action Adventure Science Fiction Thriller,Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O. Sanders,saving the world library cataclysm climate change greenhouse effect,Roland Emmerich
213,Mission: Impossible II,Adventure Action Thriller,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh,terror spain cia helicopter secret identity,John Woo
214,The Perfect Storm,Drama,George Clooney Mark Wahlberg Diane Lane John C. Reilly William Fichtner,u.s. air force grocery jamaican meteorologist rescue boat,Wolfgang Petersen
215,Fantastic 4: Rise of the Silver Surfer,Adventure Fantasy Action Thriller,Ioan Gruffudd Jessica Alba Chris Evans Michael Chiklis Julian McMahon,fire helicopter surfboard mask satellite,Tim Story
216,Life of Pi,Adventure Drama Action,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain,ocean shipwreck hindu tiger faith,Ang Lee
217,Ghost Rider,Thriller Action Fantasy Horror,Nicolas Cage Eva Mendes Wes Bentley Donal Logue Sam Elliott,mephisto religion and supernatural dying and death devil's son ghost world,Mark Steven Johnson
218,Jason Bourne,Action Thriller,Matt Damon Alicia Vikander Tommy Lee Jones Vincent Cassel Julia Stiles,assassin amnesia flashback,Paul Greengrass
219,Charlie's Angels: Full Throttle,Action Adventure Comedy,Cameron Diaz Drew Barrymore Lucy Liu Bernie Mac Robert Patrick,robbery secret identity secret agent,McG
220,Prometheus,Science Fiction Adventure Mystery,Noomi Rapace Michael Fassbender Guy Pearce Idris Elba Logan Marshall-Green,android dystopia alien spin off creation,Ridley Scott
221,Stuart Little 2,Family Adventure Animation Comedy,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Anna Hoelck,mouse falcon bird friendship family,Rob Minkoff
222,Elysium,Science Fiction Action Drama Thriller,Matt Damon Jodie Foster Sharlto Copley Alice Braga Diego Luna,dystopia space station class conflict,Neill Blomkamp
223,The Chronicles of Riddick,Action Science Fiction,Vin Diesel Thandie Newton Karl Urban Colm Feore Linus Roache,prison dystopia matter of life and death outer space intergalactic travel,David Twohy
224,RoboCop,Action Science Fiction,Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley,cyborg future dystopia police remake,Jos\u00e9 Padilha
225,Speed Racer,Action Family Science Fiction,Emile Hirsch Christina Ricci Matthew Fox Susan Sarandon Scott Porter,car race loss of brother chimp family duringcreditsstinger,Lilly Wachowski
226,How Do You Know,Comedy Drama Romance,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn,love triangle baseball athlete aftercreditsstinger,James L. Brooks
227,Knight and Day,Action Comedy,Tom Cruise Cameron Diaz Peter Sarsgaard Viola Davis Jordi Moll\u00e0,spy airport gas station garage pilot,James Mangold
228,Oblivion,Action Science Fiction Adventure Mystery,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau,spacecraft dystopia space drone imax,Joseph Kosinski
229,Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,showdown death star vision cult figure hatred,George Lucas
230,Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,senate investigation army death star jedi,George Lucas
231,"Monsters, Inc.",Animation Comedy Family,John Goodman Billy Crystal Mary Gibbs Steve Buscemi James Coburn,monster infant energy supply company rivalry,Pete Docter
232,The Wolverine,Action Science Fiction Adventure Fantasy,Hugh Jackman Hiroyuki Sanada Famke Janssen Will Yun Lee Tao Okamoto,japan samurai mutant world war i marvel comic,James Mangold
233,Star Wars: Episode I - The Phantom Menace,Adventure Action Science Fiction,Liam Neeson Ewan McGregor Natalie Portman Jake Lloyd Ian McDiarmid,prophecy senate queen taskmaster galaxy,George Lucas
234,The Croods,Adventure Animation Comedy Family Fantasy,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,stone age daughter father prehistoric ancient world,Chris Sanders
235,Asterix at the Olympic Games,Fantasy Adventure Comedy Family,Clovis Cornillac G\u00e9rard Depardieu Franck Dubosc Jos\u00e9 Garcia St\u00e9phane Rousseau,competition greece colosseum olympic games emperor,Thomas Langmann
236,Windtalkers,Drama Action History War,Nicolas Cage Adam Beach Peter Stormare Noah Emmerich Mark Ruffalo,japan world war ii radio transmission marine corps u.s. army,John Woo
237,The Huntsman: Winter's War,Action Adventure Drama,Chris Hemsworth Charlize Theron Emily Blunt Jessica Chastain Nick Frost,witch magic fairy tale snow white huntsman,Cedric Nicolas-Troyan
238,Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,martial arts terrorist hero mutation van,Jonathan Liebesman
239,Gravity,Science Fiction Thriller Drama,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,space mission loss space astronaut trapped in space,Alfonso Cuar\u00f3n
